date,year,month,week_of_year,quarter,season,region,production_zone,altitude_m,grade,grade_description,dried_price_lkr_per_kg,fresh_price_lkr_per_kg_est,usd_lkr_rate_est,diesel_price_lkr_litre_est,kerosene_price_lkr_litre_est,labour_cost_lkr_day_est,electricity_price_lkr_kwh_est,rainfall_mm_est,temperature_c_est,humidity_pct_est,production_supply_index_est,global_export_demand_index_est,fuel_drying_cost_lkr_per_dried_kg_est,labour_drying_cost_lkr_per_dried_kg_est,electricity_drying_cost_lkr_per_dried_kg_est,barn_rental_lkr_per_dried_kg_est,packaging_transport_lkr_per_dried_kg_est,total_drying_cost_lkr_per_dried_kg_est,fresh_to_dried_conversion_ratio_est,data_source_class
1/1/2018,2018,1,1,1,main_harvest,Kandy,Central highland,900,LG,Lanka Green / premium green pods,3173.79,470.87,163.25,123.59,72.43,941.32,18.96,163.2,21.8,70.3,120.28,87.49,89.99,46.03,33.26,74.91,113.84,358.03,4.16,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Kandy,Central highland,900,LLG1,Lanka Light Green grade 1,2732.49,343.65,163.25,123.59,72.43,941.32,18.96,163.2,21.8,70.3,120.28,87.49,99.43,47.8,60.81,55.16,115.81,379.01,4.2,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Kandy,Central highland,900,LLG2,Lanka Light Green grade 2,2272.61,368.32,163.25,123.59,72.43,941.32,18.96,163.2,21.8,70.3,120.28,87.49,95,43.82,61.3,78.24,113.02,391.38,4.02,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Kandy,Central highland,900,LB,Lower/brown grade,2051.78,285.55,163.25,123.59,72.43,941.32,18.96,163.2,21.8,70.3,120.28,87.49,43.5,55.42,59.54,45.14,112.5,316.1,4.15,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Matale,Central highland,650,LG,Lanka Green / premium green pods,3167.26,449.2,163.25,123.59,72.43,941.32,18.96,139.8,22.1,75,120.28,87.49,117.66,58.57,65.9,72.05,97.69,411.87,4.22,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Matale,Central highland,650,LLG1,Lanka Light Green grade 1,2811.43,392.23,163.25,123.59,72.43,941.32,18.96,139.8,22.1,75,120.28,87.49,113.16,44.47,34.91,112.74,102.44,407.72,4.18,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Matale,Central highland,650,LLG2,Lanka Light Green grade 2,2417.88,289.55,163.25,123.59,72.43,941.32,18.96,139.8,22.1,75,120.28,87.49,83.54,58.07,53.83,110.75,112.79,418.98,4.32,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Matale,Central highland,650,LB,Lower/brown grade,1908.44,261.99,163.25,123.59,72.43,941.32,18.96,139.8,22.1,75,120.28,87.49,91.26,46.36,56.78,91.85,79.02,365.27,4.37,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Nuwara Eliya,Central highland,1200,LG,Lanka Green / premium green pods,3282.13,450.54,163.25,123.59,72.43,941.32,18.96,117,20.6,72.9,120.28,87.49,76.64,61.1,64.44,106.98,136.67,445.83,4.17,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Nuwara Eliya,Central highland,1200,LLG1,Lanka Light Green grade 1,2757.64,403,163.25,123.59,72.43,941.32,18.96,117,20.6,72.9,120.28,87.49,68.21,49.7,47.77,89.84,113.08,368.6,4.33,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Nuwara Eliya,Central highland,1200,LLG2,Lanka Light Green grade 2,2324.33,324.32,163.25,123.59,72.43,941.32,18.96,117,20.6,72.9,120.28,87.49,49.53,61.73,31.34,103.88,94.53,341.01,4.14,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Nuwara Eliya,Central highland,1200,LB,Lower/brown grade,1908.11,260.12,163.25,123.59,72.43,941.32,18.96,117,20.6,72.9,120.28,87.49,80.42,53.04,37.04,63.2,132.29,365.99,4.51,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Badulla,Uva highland,750,LG,Lanka Green / premium green pods,2907.62,397.55,163.25,123.59,72.43,941.32,18.96,92.4,22.2,75,120.28,87.49,69.97,49.72,37.51,78.32,66.53,302.05,4.09,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Badulla,Uva highland,750,LLG1,Lanka Light Green grade 1,2642.45,377.68,163.25,123.59,72.43,941.32,18.96,92.4,22.2,75,120.28,87.49,94.22,62.05,47.35,116.92,100.26,420.8,4.37,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Badulla,Uva highland,750,LLG2,Lanka Light Green grade 2,2455.65,332.7,163.25,123.59,72.43,941.32,18.96,92.4,22.2,75,120.28,87.49,78.4,46.43,59.66,84.36,129.97,398.82,4.26,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Badulla,Uva highland,750,LB,Lower/brown grade,1910.75,265.63,163.25,123.59,72.43,941.32,18.96,92.4,22.2,75,120.28,87.49,85.23,43.08,29.9,69.52,109.52,337.25,4.12,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Ratnapura,Sabaragamuwa wet zone,450,LG,Lanka Green / premium green pods,2697.42,326.33,163.25,123.59,72.43,941.32,18.96,165.3,22.7,76.5,120.28,87.49,79.51,61.53,57.11,86.01,63,347.16,4.59,source_calibrated_synthetic
