scenario_id,date,year,month,season,region,grade,dryer_access_profile,harvest_fresh_kg,moisture_pct_est,fresh_to_dried_conversion_ratio_est,current_fresh_price_lkr_per_kg,current_dried_price_lkr_per_kg,drying_cost_total_lkr,storage_weeks,storage_cost_total_lkr,quality_loss_pct_est,usd_lkr_rate_est,diesel_price_lkr_litre_est,kerosene_price_lkr_litre_est,labour_cost_lkr_day_est,production_supply_index_est,global_export_demand_index_est
SCN-000001,1/1/2018,2018,1,main_harvest,Kandy,LG,average_shared_dryer,153.3,73.2,4.36,434.09,3173.79,16078.25,5,7533.96,1.661769178,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000002,1/1/2018,2018,1,main_harvest,Kandy,LG,average_shared_dryer,65.7,65.1,4.03,535.2,3173.79,7027.72,8,5918.93,3.850699771,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000003,1/1/2018,2018,1,main_harvest,Kandy,LLG1,low_cost_owned_dryer,691.8,69.1,4.29,399.64,2732.49,47367.42,6,49140.77,2.061193578,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000004,1/1/2018,2018,1,main_harvest,Kandy,LLG1,low_cost_owned_dryer,135,71.9,4.54,329.51,2732.49,14914.47,6,5536.2,4.871961068,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000005,1/1/2018,2018,1,main_harvest,Kandy,LLG2,average_shared_dryer,68.2,69.7,3.96,375.69,2272.61,9989.28,4,1962.07,3.049309893,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000006,1/1/2018,2018,1,main_harvest,Kandy,LLG2,low_cost_owned_dryer,2254.6,65.6,3.93,372.9,2272.61,154743.97,4,119907.11,0.428592384,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000007,1/1/2018,2018,1,main_harvest,Kandy,LB,high_cost_rented_dryer,199,73.5,4.29,368.18,2051.78,37188.78,5,9127.26,4.133103477,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000008,1/1/2018,2018,1,main_harvest,Kandy,LB,low_cost_owned_dryer,256.4,64.3,4.11,231.22,2051.78,22827.8,4,11347.54,3.644331443,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000009,1/1/2018,2018,1,main_harvest,Matale,LG,average_shared_dryer,193,62.6,3.91,421.91,3167.26,32899.05,5,6270.21,3.169429143,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000010,1/1/2018,2018,1,main_harvest,Matale,LG,average_shared_dryer,118.3,61.8,4.05,507.32,3167.26,15018.82,2,2332.99,3.120110047,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000011,1/1/2018,2018,1,main_harvest,Matale,LLG1,average_shared_dryer,1822,62.6,3.9,425.5,2811.43,219395.84,5,112991.49,2.339448683,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000012,1/1/2018,2018,1,main_harvest,Matale,LLG1,average_shared_dryer,185.6,70.6,4.25,306.68,2811.43,34325.56,4,3700.26,4.175681122,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000013,1/1/2018,2018,1,main_harvest,Matale,LLG2,low_cost_owned_dryer,1115.4,69.4,4.43,339.98,2417.88,99636.14,4,40710.94,0.459432951,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000014,1/1/2018,2018,1,main_harvest,Matale,LLG2,average_shared_dryer,378.6,78.1,4.83,219.26,2417.88,40564.2,6,11137.46,2.250069951,163.25,123.59,72.43,941.32,120.28,87.49
